sigla_uf,situacao_domicilio,comodos,condicao_domicilio,banheiros,moradores,homens,mulheres,agua,coleta_lixo,iluminacao,radio,geladeira,videocassete,maquina_lavar,microondas,telefone,computador,televisores,automoveis,ar_condicionado,iluminacao_publica,pavimentacao,rendimento
SP,1,6,1,1,4,2,2,1,1,1,1,1,2,2,1,1,2,1,1,0,4,2,500
CE,1,6,1,1,5,4,1,2,3,1,1,1,2,2,2,2,2,1,0,0,5,1,260
PA,1,6,3,0,10,6,4,2,3,1,1,2,2,2,2,2,2,2,0,0,10,3,311
SP,1,6,5,1,5,3,2,1,1,1,1,1,1,2,2,1,2,2,0,0,5,1,840
PR,2,5,4,1,4,3,1,2,3,1,1,1,2,2,2,2,2,1,0,0,4,3,170
MG,2,8,4,0,2,1,1,2,3,1,1,2,2,2,2,2,2,1,0,0,2,3,302
SP,1,9,1,2,1,1,0,1,1,1,1,1,2,1,2,1,2,2,1,0,1,1,1200
MG,1,10,1,2,2,1,1,1,1,1,1,1,2,2,2,1,2,1,0,0,2,1,1378
MA,1,7,1,0,9,6,3,1,3,1,1,1,2,2,2,2,2,1,0,0,9,1,120
SP,1,4,5,1,1,1,0,1,1,1,1,2,2,2,2,2,2,0,0,0,1,1,150
MG,1,4,3,0,1,1,0,1,3,1,2,2,2,2,2,2,2,0,0,0,1,3,181
RS,1,7,1,1,5,2,3,1,1,1,1,1,2,2,2,2,2,1,0,0,5,3,604
RJ,1,4,1,1,4,2,2,1,1,1,1,1,1,2,2,2,2,1,1,0,4,1,521
BA,2,3,1,0,4,2,2,2,5,2,1,2,2,2,2,2,2,0,0,0,4,3,215
PR,1,5,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,0,1,0,2,1,401
CE,1,5,1,1,5,2,3,1,1,1,1,1,2,2,2,1,2,1,0,0,5,1,300
MG,1,3,3,1,1,0,1,1,1,1,1,2,2,2,2,2,2,0,0,0,1,1,151
MA,1,6,2,1,6,4,2,3,1,1,1,1,2,2,2,1,2,2,0,0,6,1,1902
MS,1,4,1,1,4,1,3,1,1,1,1,1,1,1,1,1,2,1,0,0,4,9,500
PB,2,4,1,0,14,7,7,3,3,1,1,2,2,2,2,2,2,1,0,0,14,3,440
BA,1,9,1,1,7,1,6,1,1,1,1,1,1,2,2,2,2,1,0,0,7,2,452
RJ,1,5,1,1,4,1,3,1,1,1,1,1,1,2,2,2,2,1,0,0,4,1,2200
MG,1,5,1,1,5,2,3,1,1,1,1,1,1,1,1,1,2,2,0,0,5,1,1100
RR,1,1,1,0,2,1,1,1,1,1,2,1,2,2,2,2,2,1,0,0,2,3,200
RS,2,6,4,1,2,1,1,3,3,1,1,1,2,2,2,2,2,1,1,0,2,3,422
SP,2,4,1,1,2,1,1,2,7,2,1,1,2,2,2,2,2,1,1,0,2,3,1300
GO,1,3,1,1,6,4,2,1,1,1,1,1,2,2,2,2,2,1,0,0,6,3,250
BA,2,8,1,1,5,1,4,1,1,1,1,1,1,2,2,2,2,1,1,0,5,1,710
CE,1,6,3,1,8,4,4,1,5,1,1,2,2,2,2,2,2,1,1,0,8,2,240
RJ,1,8,1,2,4,2,2,1,1,1,1,1,1,1,1,1,2,3,1,1,4,1,1850
SP,1,4,1,1,4,2,2,1,1,1,1,1,1,2,2,2,2,1,1,0,4,1,600
SP,1,2,5,1,2,1,1,1,1,1,2,1,2,2,2,2,2,0,0,0,2,1,151
MT,1,6,2,1,3,1,2,1,2,1,1,1,1,1,1,2,2,1,0,1,3,1,2150
PR,1,5,1,1,1,0,1,1,1,1,1,1,1,2,2,2,2,1,0,0,1,1,151
BA,2,8,1,2,6,2,4,1,4,1,1,1,1,2,2,2,2,3,2,0,6,3,310
SC,2,6,1,1,3,1,2,2,3,1,1,1,2,2,2,2,2,1,0,0,3,,250
SP,1,4,1,1,1,0,1,1,1,1,1,1,2,1,2,2,2,1,0,0,1,1,151
MA,2,3,5,0,2,1,1,3,5,1,2,2,2,2,2,2,2,0,0,0,2,3,60
RS,1,6,1,1,4,1,3,1,1,1,1,1,1,1,2,2,2,1,1,0,4,3,390
RJ,1,6,1,1,2,0,2,1,1,1,1,1,2,1,2,1,2,2,0,1,2,1,601
PR,1,8,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,1,0,2,1,302
SP,2,4,4,1,3,1,2,2,3,1,1,1,2,2,2,2,2,1,0,0,3,3,250
PA,1,5,2,1,4,2,2,1,1,1,1,1,2,2,2,1,2,1,1,0,4,3,600
PE,2,5,5,0,3,2,1,3,5,1,1,1,2,2,2,2,2,1,0,0,3,,200
CE,1,6,1,3,5,3,2,1,1,1,1,1,1,1,2,1,1,3,2,1,5,1,5400
SP,1,5,1,1,3,2,1,1,1,1,1,1,1,2,2,2,2,1,0,0,3,3,600
RJ,1,3,1,1,1,1,0,2,1,1,1,1,1,1,2,1,2,1,1,0,1,3,1500
RS,2,5,1,0,3,1,2,2,4,1,1,1,2,2,2,2,2,1,0,0,3,3,300
PR,2,6,1,1,5,3,2,1,1,1,1,1,2,2,2,2,2,1,0,0,5,2,351
CE,1,4,1,1,5,3,2,1,1,1,1,1,1,2,2,1,2,1,1,0,5,1,500
